,DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Energy(Wh),Date,Power(W),V1(V),T1(℃),Aux. ΔV(V),Aux. ΔT(℃)
30,31,1,1,Rest,00:00:29,00:00:29,0.0,-0.0031,0.0,0.0,2024-07-30 20:14:40,0.0,-0.0047,24.9,0,0
31,32,1,2,CC Chg,00:00:00,00:00:29,0.00011,0.0068,0.0,0.0,2024-07-30 20:14:40,0.0,0.0047,24.9,0,0
32,33,1,2,CC Chg,00:00:01,00:00:30,0.00092,1.0556,0.0,0.0,2024-07-30 20:14:41,0.00097,1.0692,25.1,0,0
33,34,1,2,CC Chg,00:00:02,00:00:31,0.00095,1.0704,0.0,0.0,2024-07-30 20:14:42,0.00102,1.0706,25.1,0,0
34,35,1,2,CC Chg,00:00:03,00:00:32,0.00097,1.0739,0.0,0.0,2024-07-30 20:14:43,0.00104,1.0705,25.1,0,0
35,36,1,2,CC Chg,00:00:04,00:00:33,0.00097,1.0711,0.0,0.0,2024-07-30 20:14:44,0.00104,1.0754,25.1,0,0
36,37,1,2,CC Chg,00:00:05,00:00:34,0.00097,1.0745,0.0,0.0,2024-07-30 20:14:45,0.00105,1.0719,25.1,0,0
37,38,1,2,CC Chg,00:00:06,00:00:35,0.00098,1.0751,0.0,0.0,2024-07-30 20:14:46,0.00105,1.072,25.1,0,0
38,39,1,2,CC Chg,00:00:07,00:00:36,0.00098,1.0708,0.0,0.0,2024-07-30 20:14:47,0.00105,1.0689,25.1,0,0
39,40,1,2,CC Chg,00:00:08,00:00:37,0.00098,1.0782,0.0,0.0,2024-07-30 20:14:48,0.00106,1.0669,25.1,0,0
40,41,1,2,CC Chg,00:00:09,00:00:38,0.00098,1.0704,0.0,0.0,2024-07-30 20:14:49,0.00105,1.0703,25.1,0,0
41,42,1,2,CC Chg,00:00:10,00:00:39,0.00098,1.0739,0.0,0.0,2024-07-30 20:14:50,0.00105,1.0762,25.1,0,0
42,43,1,2,CC Chg,00:00:11,00:00:40,0.00098,1.0726,0.0,0.0,2024-07-30 20:14:51,0.00105,1.0706,25.1,0,0
43,44,1,2,CC Chg,00:00:12,00:00:41,0.00098,1.0701,0.0,0.0,2024-07-30 20:14:52,0.00105,1.072,24.9,0,0
44,45,1,2,CC Chg,00:00:13,00:00:42,0.00098,1.0754,0.0,0.0,2024-07-30 20:14:53,0.00105,1.0703,25.1,0,0
45,46,1,2,CC Chg,00:00:14,00:00:43,0.00099,1.0745,0.0,0.0,2024-07-30 20:14:54,0.00107,1.0703,25.1,0,0
46,47,1,2,CC Chg,00:00:15,00:00:44,0.00099,1.0773,0.0,0.0,2024-07-30 20:14:55,0.00107,1.0739,24.9,0,0
47,48,1,2,CC Chg,00:00:16,00:00:45,0.00099,1.0739,0.0,0.0,2024-07-30 20:14:56,0.00107,1.0697,24.9,0,0
48,49,1,2,CC Chg,00:00:17,00:00:46,0.00098,1.0779,0.0,0.0,2024-07-30 20:14:57,0.00106,1.0716,25.1,0,0
49,50,1,2,CC Chg,00:00:18,00:00:47,0.00098,1.072,0.0,1e-05,2024-07-30 20:14:58,0.00105,1.0694,25.1,0,0
50,51,1,2,CC Chg,00:00:19,00:00:48,0.00099,1.077,1e-05,1e-05,2024-07-30 20:14:59,0.00107,1.0689,24.9,0,0
51,52,1,2,CC Chg,00:00:20,00:00:49,0.00099,1.0729,1e-05,1e-05,2024-07-30 20:15:00,0.00106,1.0785,25.1,0,0
52,53,1,2,CC Chg,00:00:21,00:00:50,0.00099,1.0773,1e-05,1e-05,2024-07-30 20:15:01,0.00107,1.0716,25.1,0,0
53,54,1,2,CC Chg,00:00:22,00:00:51,0.00098,1.0729,1e-05,1e-05,2024-07-30 20:15:02,0.00105,1.0692,25.1,0,0
54,55,1,2,CC Chg,00:00:23,00:00:52,0.00099,1.0773,1e-05,1e-05,2024-07-30 20:15:03,0.00107,1.0697,25.1,0,0
55,56,1,2,CC Chg,00:00:24,00:00:53,0.00099,1.0711,1e-05,1e-05,2024-07-30 20:15:04,0.00106,1.0739,25.1,0,0
56,57,1,2,CC Chg,00:00:25,00:00:54,0.00099,1.0791,1e-05,1e-05,2024-07-30 20:15:05,0.00107,1.0708,24.9,0,0
57,58,1,2,CC Chg,00:00:26,00:00:55,0.00098,1.0739,1e-05,1e-05,2024-07-30 20:15:06,0.00105,1.0706,25.1,0,0
58,59,1,2,CC Chg,00:00:27,00:00:56,0.00098,1.077,1e-05,1e-05,2024-07-30 20:15:07,0.00105,1.0745,24.9,0,0
59,60,1,2,CC Chg,00:00:28,00:00:57,0.00099,1.0757,1e-05,1e-05,2024-07-30 20:15:08,0.00107,1.0736,24.9,0,0
60,61,1,2,CC Chg,00:00:29,00:00:58,0.00098,1.0745,1e-05,1e-05,2024-07-30 20:15:09,0.00105,1.0686,25.1,0,0
61,62,1,2,CC Chg,00:00:30,00:00:59,0.00099,1.0708,1e-05,1e-05,2024-07-30 20:15:10,0.00106,1.0742,25.1,0,0
62,63,1,2,CC Chg,00:00:31,00:01:00,0.00098,1.0739,1e-05,1e-05,2024-07-30 20:15:11,0.00105,1.0716,25.1,0,0
63,64,1,2,CC Chg,00:00:32,00:01:01,0.00099,1.0763,1e-05,1e-05,2024-07-30 20:15:12,0.00107,1.0717,24.9,0,0
64,65,1,2,CC Chg,00:00:33,00:01:02,0.00098,1.0726,1e-05,1e-05,2024-07-30 20:15:13,0.00105,1.0729,24.9,0,0
65,66,1,2,CC Chg,00:00:34,00:01:03,0.00099,1.0779,1e-05,1e-05,2024-07-30 20:15:14,0.00107,1.0706,25.1,0,0
66,67,1,2,CC Chg,00:00:35,00:01:04,0.00099,1.076,1e-05,1e-05,2024-07-30 20:15:15,0.00107,1.0725,25.1,0,0
67,68,1,2,CC Chg,00:00:36,00:01:05,0.00098,1.0735,1e-05,1e-05,2024-07-30 20:15:16,0.00105,1.0708,25.1,0,0
68,69,1,2,CC Chg,00:00:37,00:01:06,0.00099,1.0708,1e-05,1e-05,2024-07-30 20:15:17,0.00106,1.0714,25.1,0,0
69,70,1,2,CC Chg,00:00:38,00:01:07,0.00099,1.0717,1e-05,1e-05,2024-07-30 20:15:18,0.00106,1.0734,25.1,0,0
70,71,1,2,CC Chg,00:00:39,00:01:08,0.00099,1.0776,1e-05,1e-05,2024-07-30 20:15:19,0.00107,1.0711,25.1,0,0
71,72,1,2,CC Chg,00:00:40,00:01:09,0.00099,1.0726,1e-05,1e-05,2024-07-30 20:15:20,0.00106,1.0694,25.1,0,0
72,73,1,2,CC Chg,00:00:41,00:01:10,0.00098,1.0804,1e-05,1e-05,2024-07-30 20:15:21,0.00106,1.0788,25.1,0,0
73,74,1,2,CC Chg,00:00:42,00:01:11,0.00098,1.0745,1e-05,1e-05,2024-07-30 20:15:22,0.00105,1.0723,25.1,0,0
74,75,1,2,CC Chg,00:00:43,00:01:12,0.00099,1.0773,1e-05,1e-05,2024-07-30 20:15:23,0.00107,1.0702,25.1,0,0
75,76,1,2,CC Chg,00:00:44,00:01:13,0.00099,1.0708,1e-05,1e-05,2024-07-30 20:15:24,0.00106,1.078,25.1,0,0
76,77,1,2,CC Chg,00:00:45,00:01:14,0.00098,1.0754,1e-05,1e-05,2024-07-30 20:15:25,0.00105,1.0716,25.1,0,0
77,78,1,2,CC Chg,00:00:46,00:01:15,0.00099,1.0711,1e-05,1e-05,2024-07-30 20:15:26,0.00106,1.0705,25.1,0,0
78,79,1,2,CC Chg,00:00:47,00:01:16,0.00098,1.0757,1e-05,1e-05,2024-07-30 20:15:27,0.00105,1.072,25.1,0,0
79,80,1,2,CC Chg,00:00:48,00:01:17,0.00099,1.076,1e-05,1e-05,2024-07-30 20:15:28,0.00107,1.0717,24.9,0,0
80,81,1,2,CC Chg,00:00:49,00:01:18,0.00098,1.072,1e-05,1e-05,2024-07-30 20:15:29,0.00105,1.0692,25.1,0,0
81,82,1,2,CC Chg,00:00:50,00:01:19,0.00099,1.0726,1e-05,1e-05,2024-07-30 20:15:30,0.00106,1.0716,25.1,0,0
82,83,1,2,CC Chg,00:00:51,00:01:20,0.00098,1.0726,1e-05,1e-05,2024-07-30 20:15:31,0.00105,1.0699,25.1,0,0
83,84,1,2,CC Chg,00:00:52,00:01:21,0.00099,1.0779,1e-05,2e-05,2024-07-30 20:15:32,0.00107,1.0714,25.1,0,0
84,85,1,2,CC Chg,00:00:53,00:01:22,0.00098,1.0726,1e-05,2e-05,2024-07-30 20:15:33,0.00105,1.0726,25.1,0,0
85,86,1,2,CC Chg,00:00:54,00:01:23,0.00098,1.0766,1e-05,2e-05,2024-07-30 20:15:34,0.00105,1.0708,25.1,0,0
86,87,1,2,CC Chg,00:00:55,00:01:24,0.00099,1.0757,1e-05,2e-05,2024-07-30 20:15:35,0.00107,1.0706,25.1,0,0
87,88,1,2,CC Chg,00:00:56,00:01:25,0.00098,1.0742,2e-05,2e-05,2024-07-30 20:15:36,0.00105,1.0734,25.1,0,0
88,89,1,2,CC Chg,00:00:57,00:01:26,0.00099,1.0757,2e-05,2e-05,2024-07-30 20:15:37,0.00107,1.0731,25.1,0,0
89,90,1,2,CC Chg,00:00:58,00:01:27,0.00098,1.0717,2e-05,2e-05,2024-07-30 20:15:38,0.00105,1.0711,24.9,0,0
90,91,1,2,CC Chg,00:00:59,00:01:28,0.00099,1.0708,2e-05,2e-05,2024-07-30 20:15:39,0.00106,1.0717,25.1,0,0
91,92,1,2,CC Chg,00:01:00,00:01:29,0.00099,1.0717,2e-05,2e-05,2024-07-30 20:15:40,0.00106,1.0726,25.1,0,0
92,93,1,2,CC Chg,00:01:01,00:01:30,0.00099,1.0763,2e-05,2e-05,2024-07-30 20:15:41,0.00107,1.0691,25.1,0,0
93,94,1,2,CC Chg,00:01:02,00:01:31,0.00098,1.0739,2e-05,2e-05,2024-07-30 20:15:42,0.00105,1.0723,24.9,0,0
94,95,1,2,CC Chg,00:01:03,00:01:32,0.00099,1.0794,2e-05,2e-05,2024-07-30 20:15:43,0.00107,1.0669,25.1,0,0
95,96,1,2,CC Chg,00:01:04,00:01:33,0.00098,1.0729,2e-05,2e-05,2024-07-30 20:15:44,0.00105,1.0699,25.1,0,0
96,97,1,2,CC Chg,00:01:05,00:01:34,0.00098,1.0776,2e-05,2e-05,2024-07-30 20:15:45,0.00105,1.076,25.1,0,0
97,98,1,2,CC Chg,00:01:06,00:01:35,0.00099,1.0717,2e-05,2e-05,2024-07-30 20:15:46,0.00106,1.0699,25.1,0,0
98,99,1,2,CC Chg,00:01:07,00:01:36,0.00098,1.0763,2e-05,2e-05,2024-07-30 20:15:47,0.00105,1.0712,25.1,0,0
99,100,1,2,CC Chg,00:01:08,00:01:37,0.00099,1.0763,2e-05,2e-05,2024-07-30 20:15:48,0.00107,1.0739,25.1,0,0
100,101,1,2,CC Chg,00:01:09,00:01:38,0.00098,1.0745,2e-05,2e-05,2024-07-30 20:15:49,0.00105,1.0734,25.1,0,0
101,102,1,2,CC Chg,00:01:10,00:01:39,0.00099,1.0763,2e-05,2e-05,2024-07-30 20:15:50,0.00107,1.0697,25.1,0,0
102,103,1,2,CC Chg,00:01:11,00:01:40,0.00099,1.0791,2e-05,2e-05,2024-07-30 20:15:51,0.00107,1.0722,25.1,0,0
103,104,1,2,CC Chg,00:01:12,00:01:41,0.00099,1.0717,2e-05,2e-05,2024-07-30 20:15:52,0.00106,1.0723,25.1,0,0
104,105,1,2,CC Chg,00:01:13,00:01:42,0.00098,1.0782,2e-05,2e-05,2024-07-30 20:15:53,0.00106,1.07,25.1,0,0
105,106,1,2,CC Chg,00:01:14,00:01:43,0.00099,1.076,2e-05,2e-05,2024-07-30 20:15:54,0.00107,1.0706,25.1,0,0
106,107,1,2,CC Chg,00:01:15,00:01:44,0.00098,1.0797,2e-05,2e-05,2024-07-30 20:15:55,0.00106,1.0751,25.1,0,0
107,108,1,2,CC Chg,00:01:16,00:01:45,0.00099,1.0739,2e-05,2e-05,2024-07-30 20:15:56,0.00107,1.0705,25.1,0,0
108,109,1,2,CC Chg,00:01:17,00:01:46,0.00099,1.0788,2e-05,2e-05,2024-07-30 20:15:57,0.00107,1.0686,25.1,0,0
109,110,1,2,CC Chg,00:01:18,00:01:47,0.00098,1.0723,2e-05,2e-05,2024-07-30 20:15:58,0.00105,1.0709,25.1,0,0
110,111,1,2,CC Chg,00:01:19,00:01:48,0.00099,1.0788,2e-05,2e-05,2024-07-30 20:15:59,0.00107,1.0823,25.1,0,0
111,112,1,2,CC Chg,00:01:20,00:01:49,0.00099,1.0735,2e-05,2e-05,2024-07-30 20:16:00,0.00106,1.0717,25.1,0,0
112,113,1,2,CC Chg,00:01:21,00:01:50,0.00099,1.0794,2e-05,2e-05,2024-07-30 20:16:01,0.00107,1.0703,25.1,0,0
113,114,1,2,CC Chg,00:01:22,00:01:51,0.00098,1.072,2e-05,2e-05,2024-07-30 20:16:02,0.00105,1.0685,25.1,0,0
114,115,1,2,CC Chg,00:01:23,00:01:52,0.00099,1.0729,2e-05,2e-05,2024-07-30 20:16:03,0.00106,1.0769,25.1,0,0
115,116,1,2,CC Chg,00:01:24,00:01:53,0.00098,1.0717,2e-05,2e-05,2024-07-30 20:16:04,0.00105,1.072,25.1,0,0
116,117,1,2,CC Chg,00:01:25,00:01:54,0.00099,1.077,2e-05,2e-05,2024-07-30 20:16:05,0.00107,1.0706,25.1,0,0
117,118,1,2,CC Chg,00:01:26,00:01:55,0.00098,1.0717,2e-05,3e-05,2024-07-30 20:16:06,0.00105,1.0694,25.1,0,0
118,119,1,2,CC Chg,00:01:27,00:01:56,0.00099,1.0751,2e-05,3e-05,2024-07-30 20:16:07,0.00107,1.0797,25.1,0,0
119,120,1,2,CC Chg,00:01:28,00:01:57,0.00098,1.0732,2e-05,3e-05,2024-07-30 20:16:08,0.00105,1.0714,25.1,0,0
120,121,1,2,CC Chg,00:01:29,00:01:58,0.00099,1.0698,2e-05,3e-05,2024-07-30 20:16:09,0.00106,1.068,25.1,0,0
121,122,1,2,CC Chg,00:01:30,00:01:59,0.00098,1.0739,2e-05,3e-05,2024-07-30 20:16:10,0.00105,1.0686,25.1,0,0
122,123,1,2,CC Chg,00:01:31,00:02:00,0.00099,1.0757,2e-05,3e-05,2024-07-30 20:16:11,0.00107,1.0772,25.1,0,0
123,124,1,2,CC Chg,00:01:32,00:02:01,0.00098,1.0726,3e-05,3e-05,2024-07-30 20:16:12,0.00105,1.0719,25.1,0,0
124,125,1,2,CC Chg,00:01:33,00:02:02,0.00099,1.0745,3e-05,3e-05,2024-07-30 20:16:13,0.00107,1.0705,25.1,0,0
125,126,1,2,CC Chg,00:01:34,00:02:03,0.00098,1.0717,3e-05,3e-05,2024-07-30 20:16:14,0.00105,1.0702,25.1,0,0
126,127,1,2,CC Chg,00:01:35,00:02:04,0.00099,1.0708,3e-05,3e-05,2024-07-30 20:16:15,0.00106,1.0745,25.1,0,0
127,128,1,2,CC Chg,00:01:36,00:02:05,0.00098,1.0723,3e-05,3e-05,2024-07-30 20:16:16,0.00105,1.0717,25.1,0,0
128,129,1,2,CC Chg,00:01:37,00:02:06,0.00099,1.0751,3e-05,3e-05,2024-07-30 20:16:17,0.00107,1.0708,24.9,0,0
129,130,1,2,CC Chg,00:01:38,00:02:07,0.00098,1.0726,3e-05,3e-05,2024-07-30 20:16:18,0.00105,1.0772,25.1,0,0
130,131,1,2,CC Chg,00:01:39,00:02:08,0.00099,1.0757,3e-05,3e-05,2024-07-30 20:16:19,0.00107,1.0714,25.1,0,0
131,132,1,2,CC Chg,00:01:40,00:02:09,0.00099,1.0757,3e-05,3e-05,2024-07-30 20:16:20,0.00107,1.0666,25.1,0,0
132,133,1,2,CC Chg,00:01:41,00:02:10,0.00099,1.0708,3e-05,3e-05,2024-07-30 20:16:21,0.00106,1.0709,25.1,0,0
133,134,1,2,CC Chg,00:01:42,00:02:11,0.00098,1.0745,3e-05,3e-05,2024-07-30 20:16:22,0.00105,1.0751,25.1,0,0
134,135,1,2,CC Chg,00:01:43,00:02:12,0.00099,1.0751,3e-05,3e-05,2024-07-30 20:16:23,0.00107,1.0726,24.9,0,0
135,136,1,2,CC Chg,00:01:44,00:02:13,0.00098,1.0729,3e-05,3e-05,2024-07-30 20:16:24,0.00105,1.0691,25.1,0,0
136,137,1,2,CC Chg,00:01:45,00:02:14,0.00099,1.0751,3e-05,3e-05,2024-07-30 20:16:25,0.00107,1.0674,25.1,0,0
137,138,1,2,CC Chg,00:01:46,00:02:15,0.00098,1.0751,3e-05,3e-05,2024-07-30 20:16:26,0.00105,1.0711,24.9,0,0
138,139,1,2,CC Chg,00:01:47,00:02:16,0.00099,1.0708,3e-05,3e-05,2024-07-30 20:16:27,0.00106,1.0719,25.1,0,0
139,140,1,2,CC Chg,00:01:48,00:02:17,0.00098,1.0742,3e-05,3e-05,2024-07-30 20:16:28,0.00105,1.0705,24.9,0,0
140,141,1,2,CC Chg,00:01:49,00:02:18,0.00099,1.0757,3e-05,3e-05,2024-07-30 20:16:29,0.00107,1.0792,25.1,0,0
141,142,1,2,CC Chg,00:01:50,00:02:19,0.00098,1.0788,3e-05,3e-05,2024-07-30 20:16:30,0.00106,1.0714,25.1,0,0
142,143,1,2,CC Chg,00:01:51,00:02:20,0.00098,1.0723,3e-05,3e-05,2024-07-30 20:16:31,0.00105,1.0689,25.1,0,0
143,144,1,2,CC Chg,00:01:52,00:02:21,0.00099,1.0776,3e-05,3e-05,2024-07-30 20:16:32,0.00107,1.0706,25.1,0,0
144,145,1,2,CC Chg,00:01:53,00:02:22,0.00098,1.072,3e-05,3e-05,2024-07-30 20:16:33,0.00105,1.0736,25.1,0,0
145,146,1,2,CC Chg,00:01:54,00:02:23,0.00099,1.0776,3e-05,3e-05,2024-07-30 20:16:34,0.00107,1.07,25.1,0,0
146,147,1,2,CC Chg,00:01:55,00:02:24,0.00099,1.072,3e-05,3e-05,2024-07-30 20:16:35,0.00106,1.0694,25.1,0,0
147,148,1,2,CC Chg,00:01:56,00:02:25,0.00099,1.0782,3e-05,3e-05,2024-07-30 20:16:36,0.00107,1.0714,25.1,0,0
148,149,1,2,CC Chg,00:01:57,00:02:26,0.00099,1.0739,3e-05,3e-05,2024-07-30 20:16:37,0.00107,1.0751,25.1,0,0
149,150,1,2,CC Chg,00:01:58,00:02:27,0.00098,1.0776,3e-05,3e-05,2024-07-30 20:16:38,0.00105,1.0717,25.1,0,0
150,151,1,2,CC Chg,00:01:59,00:02:28,0.00098,1.0711,3e-05,3e-05,2024-07-30 20:16:39,0.00105,1.0685,25.1,0,0
151,152,1,2,CC Chg,00:02:00,00:02:29,0.00099,1.0773,3e-05,4e-05,2024-07-30 20:16:40,0.00107,1.07,25.1,0,0
152,153,1,2,CC Chg,00:02:01,00:02:30,0.00099,1.0708,3e-05,4e-05,2024-07-30 20:16:41,0.00106,1.0774,25.1,0,0
153,154,1,2,CC Chg,00:02:02,00:02:31,0.00099,1.0742,3e-05,4e-05,2024-07-30 20:16:42,0.00107,1.0732,25.1,0,0
154,155,1,2,CC Chg,00:02:03,00:02:32,0.00098,1.0708,3e-05,4e-05,2024-07-30 20:16:43,0.00105,1.0699,25.1,0,0
155,156,1,2,CC Chg,00:02:04,00:02:33,0.00099,1.0704,3e-05,4e-05,2024-07-30 20:16:44,0.00106,1.0689,24.9,0,0
156,157,1,2,CC Chg,00:02:05,00:02:34,0.00098,1.0714,3e-05,4e-05,2024-07-30 20:16:45,0.00105,1.0746,25.1,0,0
157,158,1,2,CC Chg,00:02:06,00:02:35,0.00099,1.0751,3e-05,4e-05,2024-07-30 20:16:46,0.00107,1.0706,25.1,0,0
158,159,1,2,CC Chg,00:02:07,00:02:36,0.00098,1.0785,3e-05,4e-05,2024-07-30 20:16:47,0.00106,1.0709,25.1,0,0
159,160,1,2,CC Chg,00:02:08,00:02:37,0.00098,1.0714,3e-05,4e-05,2024-07-30 20:16:48,0.00105,1.068,25.1,0,0
160,161,1,2,CC Chg,00:02:09,00:02:38,0.00099,1.0745,4e-05,4e-05,2024-07-30 20:16:49,0.00107,1.0709,24.9,0,0
161,162,1,2,CC Chg,00:02:10,00:02:39,0.00098,1.0708,4e-05,4e-05,2024-07-30 20:16:50,0.00105,1.0732,24.9,0,0
162,163,1,2,CC Chg,00:02:11,00:02:40,0.00099,1.0739,4e-05,4e-05,2024-07-30 20:16:51,0.00107,1.0711,25.1,0,0
163,164,1,2,CC Chg,00:02:12,00:02:41,0.00098,1.072,4e-05,4e-05,2024-07-30 20:16:52,0.00105,1.0691,25.1,0,0
164,165,1,2,CC Chg,00:02:13,00:02:42,0.00099,1.0751,4e-05,4e-05,2024-07-30 20:16:53,0.00107,1.0692,25.1,0,0
165,166,1,2,CC Chg,00:02:14,00:02:43,0.00098,1.0745,4e-05,4e-05,2024-07-30 20:16:54,0.00105,1.068,25.1,0,0
166,167,1,2,CC Chg,00:02:15,00:02:44,0.00099,1.0704,4e-05,4e-05,2024-07-30 20:16:55,0.00106,1.0762,25.1,0,0
167,168,1,2,CC Chg,00:02:16,00:02:45,0.00098,1.076,4e-05,4e-05,2024-07-30 20:16:56,0.00105,1.0719,25.1,0,0
168,169,1,2,CC Chg,00:02:17,00:02:46,0.00098,1.0742,4e-05,4e-05,2024-07-30 20:16:57,0.00105,1.0697,24.9,0,0
169,170,1,2,CC Chg,00:02:18,00:02:47,0.00099,1.0785,4e-05,4e-05,2024-07-30 20:16:58,0.00107,1.0683,25.1,0,0
170,171,1,2,CC Chg,00:02:19,00:02:48,0.00098,1.0711,4e-05,4e-05,2024-07-30 20:16:59,0.00105,1.0705,25.1,0,0
171,172,1,2,CC Chg,00:02:20,00:02:49,0.00099,1.0711,4e-05,4e-05,2024-07-30 20:17:00,0.00106,1.0751,25.1,0,0
172,173,1,2,CC Chg,00:02:21,00:02:50,0.00099,1.0708,4e-05,4e-05,2024-07-30 20:17:01,0.00106,1.0716,25.1,0,0
173,174,1,2,CC Chg,00:02:22,00:02:51,0.00099,1.0751,4e-05,4e-05,2024-07-30 20:17:02,0.00107,1.0712,25.1,0,0
174,175,1,2,CC Chg,00:02:23,00:02:52,0.00098,1.0751,4e-05,4e-05,2024-07-30 20:17:03,0.00105,1.0685,25.1,0,0
175,176,1,2,CC Chg,00:02:24,00:02:53,0.00099,1.0751,4e-05,4e-05,2024-07-30 20:17:04,0.00107,1.0708,25.1,0,0
176,177,1,2,CC Chg,00:02:25,00:02:54,0.00098,1.077,4e-05,4e-05,2024-07-30 20:17:05,0.00105,1.0686,25.1,0,0
177,178,1,2,CC Chg,00:02:26,00:02:55,0.00099,1.0723,4e-05,4e-05,2024-07-30 20:17:06,0.00106,1.0716,24.9,0,0
178,179,1,2,CC Chg,00:02:27,00:02:56,0.00099,1.076,4e-05,4e-05,2024-07-30 20:17:07,0.00107,1.0776,25.1,0,0
179,180,1,2,CC Chg,00:02:28,00:02:57,0.00098,1.0708,4e-05,4e-05,2024-07-30 20:17:08,0.00105,1.0723,25.1,0,0
180,181,1,2,CC Chg,00:02:29,00:02:58,0.00099,1.0704,4e-05,4e-05,2024-07-30 20:17:09,0.00106,1.0709,25.1,0,0
